id,Neighborhood,Latitude,Longitude
551,Honnasandra,13.0406063,77.3373727
552,Honnayakanahalli,12.4540723,77.092583
553,Honniganahalli,12.4349571,77.2814516
554,Horalagallu,12.4769413,77.3990413
555,Hosadurga,13.7987759,76.2831034
556,Hosahalli,13.3500993,77.7429078
557,Hoskote,13.073014,77.7921381
558,Hosur,12.7328844,77.8309478
559,Hulikal,13.1381615,77.1475462
560,Hulikunte,13.5325903,77.2601097
561,Hullegowdanahalli,13.0603648,77.4065303
562,Hullenahalli,13.2312388,77.1081302
563,Hunasamaranahalli,13.1440103,77.6191241
564,Hunasanahalli,12.9844098,78.1705568
565,Huskur,12.8607674,77.7071019
566,Ibasapura,13.2431585,77.8215484
567,Jadigenahalli,13.0510014,77.8525514
568,Jagadapura,12.5053566,77.2264669
569,Jakkanahalli,13.3170855,76.6083581
570,Jakkasandra,13.2836364,77.5010643
571,Jalamangala,12.820985,77.2210866
572,Jalige,13.2265508,77.5843982
573,Kadabagere,12.9968992,77.4332254
574,Kadahalli,13.2731128,77.9938708
575,Kailancha,12.6672784,77.327378
576,Kalari,24.4707382,72.6968589
577,Kallahalli,13.1065809,77.7881984
578,Kalludevanahalli,12.8379111,77.1526738
579,Kalya,31.7498072,35.4661484
580,Kambalu,13.1668703,77.2386203
581,Kanakapura,12.5450268,77.4199095
582,Kanasavadi,13.2084418,77.4364151
583,Kanchugaranahalli,12.7229355,77.4436454
584,Kannamangala,13.2151923,77.6667197
585,Kannamangala,13.2151923,77.6667197
586,Kannur,11.94668945,75.3538773
587,Kanva,10.191463,8.991052
588,Karahalli,38.3584929,29.53123043
589,Kattigenahalli,13.0236672,77.8776606
590,Kembliganahalli,13.1303439,77.8836527
591,Kempasagara,12.9444363,77.1794388
592,Kodigehalli,13.0031666,77.7272835
593,Kodihalli,13.013635,78.3445339
594,Koira,21.9068705,85.2505093
595,Kolagondanahalli,12.4607683,77.6095243
596,Koligere,13.3021321,77.3921505
597,Kolliganahalli,12.7111621,77.4073992
598,Korati,31.80882385,-9.381361262
599,Kottagalu,12.6644649,77.3887453
600,Kudur,-6.8538494,111.075811
601,Kugur,12.0593135,8.7784405
602,Kumbalahalli,13.0924523,77.7929664
603,Kundana,13.257088,77.6284828
604,Kyasapura,12.7463402,77.200459
605,Lakkenahalli,13.7198461,77.7507448
606,Lakkojanahalli,12.6410179,77.2779274
607,Lakkur,12.7259455,76.2537773
608,Lakshmipura,13.4474189,78.2982452
609,Lakshmipura,13.4474189,78.2982452
610,Madabal,12.9136433,77.2289905
611,Madalakote,13.1149481,77.3107842
612,Madanayakanahalli,12.598853,77.092354
613,Madavara,17.1206754,77.3067602
614,Madigondanahalli,13.0694268,77.2084539
615,Magadi,12.9567353,77.2242281
616,Mahadevapura,14.4667215,76.5745227
617,Makali,13.4392417,77.4890962
618,Makali,13.4392417,77.4890962
619,Mallarabanavadi,13.0736036,77.3794648
620,Mallathahalli,12.9610667,77.5099088
621,Malur,13.0060343,77.9382839
622,Manchanabele,12.8668921,77.3344212
623,Manchanayakanahalli,12.835017,77.4172925
624,Mandibele,13.2682778,77.7880904
625,Mandigere,13.1641058,77.3703249
626,Mankunda,12.6651201,77.1422119
627,Manne,49.1772823,-1.3888152
628,Manniganahalli,13.0534939,77.1879262
629,Maralakunte,13.1322875,77.7048953
630,Marale,12.4511407,77.3997994
631,Marasandra,12.9804018,77.8739832
632,Marikuppe,13.0420279,77.2980295
633,Marsur,-0.3029971,-78.5513472
634,Mathahalli,13.1104415,77.443513
635,Mathikere,13.0328884,77.557374
636,Mayaganahalli,12.7706442,77.3353105
637,Mayasandra,13.3095936,77.6600805
638,Mayasandra,13.3095936,77.6600805
639,Medamaranahalli,12.7015058,77.4515986
640,Melekote,12.5570664,77.4151933
641,Mogenahalli,12.6993834,77.1321188
642,Motagondanahalli,13.4175052,77.3315108
643,Mudugere,13.5945716,77.4509326
644,Mugabala,13.1187669,77.8897585
645,Mullahalli,13.293062,78.0961866
646,Mylanahalli,13.1857757,77.6967689
647,NAGADENAHALLI,13.361187,78.0176067
648,Nagavara,12.6854086,75.9383995
649,Nandagudi,13.2032192,77.9013892
650,Narasandra,13.0642937,77.1729895
651,Narasipura,13.1100499,77.4630552
652,Narayanapura,13.3397035,77.763495
653,Narayanapura,13.3397035,77.763495
654,Nelamangala,13.0953024,77.3963586
655,Nelavagilu,13.2204772,77.9355841
